Название;Ресурс;Количество
Завод механических деталей;Смешанные отходы;7,5
Завод электроники;Механические детали;10
Завод электроники;Электродетали;5,3
Завод электроники;Пластик;5
Завод электроники;Электроника;24
Завод электроники;Смешанные отходы;6,5
Завод электродеталей;Пластик;3,8
Завод электродеталей;Сталь;15
Завод электродеталей;Химикаты;4,5
Завод электродеталей;Электродетали;7
Завод электродеталей;Смешанные отходы;6,5
Завод электродеталей;Опасные отходы;11
Завод ядерного топлива;Химикаты;9
Завод ядерного топлива;Фторид урана;4
Завод ядерного топлива;Ядерное топливо;2
Завод ядерного топлива;Смешанные отходы;16
Завод ядерного топлива;Опасные отходы;11
Уранообогатительный комбинат;Оксид урана;42
Уранообогатительный комбинат;Химикаты;9
Уранообогатительный комбинат;Фторид урана;4
Уранообогатительный комбинат;Смешанные отходы;9,5
Уранообогатительный комбинат;Опасные отходы;14
Завод очистки урана;Урановая руда;100
Завод очистки урана;Оксид урана;30
Завод очистки урана;Смешанные отходы;23
Завод очистки урана;Опасные отходы;28
Мясокомбинат;Скот;11
Мясокомбинат;Мясо;3,8
Мясокомбинат;Смешанные отходы;29
Ликеро-водочный завод;Зерно;64
Ликеро-водочный завод;Алкоголь;15
Ликеро-водочный завод;Смешанные отходы;17
Пищевой завод;Зерно;72
Пищевой завод;Пища;25
Пищевой завод;Смешанные отходы;13
Завод огранических удобрений;Биологические отходы;50
Завод огранических удобрений;Химикаты;2,1
Завод огранических удобрений;Смешанные отходы;38,5
Завод огранических удобрений;Органические удобрения;39
Завод синтетических удобрений;Химикаты;4,5
Завод синтетических удобрений;Вода;15
Завод синтетических удобрений;Синтетические удобрения;75
Завод синтетических удобрений;Сточные воды;15
Завод синтетических удобрений;Смешанные отходы;6,5
Завод синтетических удобрений;Опасные отходы;13
Швейная фабрика;Ткань;21
Швейная фабрика;Одежда;7,5
Швейная фабрика;Смешанные отходы;6,5
Ткацкая фабрика;Зерно;32
Ткацкая фабрика;Химикаты;12
Ткацкая фабрика;Вода;20
Ткацкая фабрика;Ткань;10
Ткацкая фабрика;Сточные воды;20
Ткацкая фабрика;Смешанные отходы;15
Ткацкая фабрика;Опасные отходы;11
Химический завод 1;Зерно;120
Химический завод 1;Нефть;300
Химический завод 1;Гравий;150
Химический завод 1;Древесина;150
Химический завод 1;Вода;250
Химический завод 1;Химикаты;45
Химический завод 1;Сточные воды;250
Химический завод 1;Смешанные отходы;85
Химический завод 1;Опасные отходы;24
Химический завод 2;Зерно;8
Химический завод 2;Нефть;20
Химический завод 2;Гравий;10
Химический завод 2;Древесина;10
Химический завод 2;Вода;20
Химический завод 2;Химикаты;3
Химический завод 2;Сточные воды;20
Химический завод 2;Смешанные отходы;12
Химический завод 2;Опасные отходы;12
Угольный комбинат;Уголь-сырец;100
Угольный комбинат;Уголь;100
Угольный комбинат;Смешанные отходы;54
Нефтеперерабатывающий завод;Нефть;450
Нефтеперерабатывающий завод;Топливо;340
Нефтеперерабатывающий завод;Битум;250
Нефтеперерабатывающий завод;Смешанные отходы;21
Нефтеперерабатывающий завод;Опасные отходы;18
Алюминиевый завод;Химикаты;13
Алюминиевый завод;Глинозем;150
Алюминиевый завод;Алюминий;280
Алюминиевый завод;Смешанные отходы;47
Алюминиевый завод;Опасные отходы;15
Глиноземный завод;Бокситы;100
Глиноземный завод;Уголь;100
Глиноземный завод;Химикаты;10
Глиноземный завод;Вода;65
Глиноземный завод;Глинозем;220
Глиноземный завод;Сточные воды;65
Глиноземный завод;Смешанные отходы;26
Глиноземный завод;Опасные отходы;12
Бокситообогатительный завод;Бокситы-сырцы;50
Бокситообогатительный завод;Бокситы;50
Бокситообогатительный завод;Смешанные отходы;18
Сталелитейный завод;Железо;150
Сталелитейный завод;Уголь;150
Сталелитейный завод;Сталь;150
Сталелитейный завод;Смешанные отходы;64
Железорудный комбинат;Железная руда;100
Железорудный комбинат;Железо;100
Железорудный комбинат;Смешанные отходы;40
Завод по переработке алюминия;Алюминиевый лом;35
Завод по переработке алюминия;Алюминий;40
Завод по переработке алюминия;Смешанные отходы;6,5
Завод по переработке стали;Железный лом;36
Завод по переработке стали;Сталь;50
Завод по переработке стали;Смешанные отходы;6,5
Завод по переработке пластмасс;Пластиковые отходы;24
Завод по переработке пластмасс;Пластик;7,5
Завод по переработке пластмасс;Смешанные отходы;6,5
Завод по переработке гравия;Строительный мусор;40
Завод по переработке гравия;Гравий;270
Завод по переработке гравия;Смешанные отходы;6,5
Гостиница (4 звезды);Пища;20
Гостиница (4 звезды);Алкоголь;20
Гостиница (4 звезды);Мясо;2,5
Центральная гостиница (4 звезды);Пища;12
Центральная гостиница (4 звезды);Алкоголь;12
Центральная гостиница (4 звезды);Мясо;1,5
Гостиница (3 звезды);Пища;12
Гостиница (3 звезды);Алкоголь;12
Гостиница (3 звезды);Мясо;1
Горная гостиница (3 звезды);Пища;9
Горная гостиница (3 звезды);Алкоголь;9
Горная гостиница (3 звезды);Мясо;1
Малая гостиниц (2 звезды);Пища;9
Малая гостиниц (2 звезды);Алкоголь;9
Малая гостиниц (2 звезды);Мясо;0,5
Тюрьма 1;Пища;10
Тюрьма 1;Одежда;10
Тюрьма 1;Мясо;2
Тюрьма 2;Пища;15
Тюрьма 2;Одежда;15
Тюрьма 2;Мясо;4
Детский дом 1;Пища;12
Детский дом 1;Одежда;12
Детский дом 1;Мясо;1
Детский дом 2;Пища;12
Детский дом 2;Одежда;12
Детский дом 2;Мясо;2
Отделение госбезопасности;Топливо;25
Здание госбезопасности;Топливо;40
Опорный пункт милиции;Топливо;15
Отделение милиции;Топливо;40
Пожарная часть 1;Топливо;30
Пожарная часть 2;Топливо;60
Пожарная часть 3;Топливо;40
Поликлиника;Топливо;15
Больница 1;Топливо;25
Больница 2;Топливо;40
Бар 1;Алкоголь;15
Пивной ларек;Алкоголь;2
Бар 2;Алкоголь;7,5
Малый универмаг 1;Пища;12
Малый универмаг 1;Одежда;12
Малый универмаг 1;Электроника;8,8
Малый универмаг 1;Мясо;2
Малый магазин;Одежда;7,5
Малый магазин;Электроника;5,3
Малый универмаг 2;Пища;12
Малый универмаг 2;Одежда;12
Малый универмаг 2;Электроника;8,8
Малый универмаг 2;Мясо;2
Малый универмаг 3;Пища;15
Малый универмаг 3;Одежда;15
Малый универмаг 3;Электроника;10
Малый универмаг 3;Мясо;2,5
Универмаг;Пища;35
Универмаг;Одежда;35
Универмаг;Электроника;24
Универмаг;Мясо;6
Бакалейный ларек;Пища;2
Бакалейный ларек;Мясо;0,25
Гастроном;Пища;10
Гастроном;Одежда;10
Гастроном;Электроника;7
Гастроном;Мясо;2
Хранилище насыпных грузов;Цемент;2300
Хранилище насыпных грузов;Глинозем;2300
Цементохранилище;Цемент;1400
Резервуар;Нефть;1500
Резервуар;Битум;1500
Резервуар;Топливо;1500
Резервуар;Синтетические удобрения;1500
Хранилище навалочных грузов;Гравий;5000
Хранилище навалочных грузов;Камень;5000
Хранилище навалочных грузов;Уголь;500
Хранилище навалочных грузов;Уголь-сырец;5000
Хранилище навалочных грузов;Железо;5000
Хранилище навалочных грузов;Железная руда;5000
Хранилище навалочных грузов;Бокситы;5000
Хранилище навалочных грузов;Бокситы-сырцы;5000
Хранилище навалочных грузов;Урановая руда;5000
Хранилище навалочных грузов;Строительный мусор;5000
Хранилище навалочных грузов;Железный лом;3000
Хранилище навалочных грузов;Алюминиевый лом;3500
Элеватор;Зерно;11200
Склад;Зерно;1280
Склад;Химикаты;480
Склад;Ткань;1120
Склад;Алкоголь;800
Склад;Пища;800
Склад;Одежда;800
Склад;Электродетали;560
Склад;Механические детали;800
Склад;Пластик;400
Склад;Электроника;460
Склад;Взрывчатка;640
Малое открытое хранилище;Сталь;330
Малое открытое хранилище;Алюминий;330
Малое открытое хранилище;Панели;297
Малое открытое хранилище;Кирпичи;264
Малое открытое хранилище;Древесина;330
Малое открытое хранилище;Доски;330
Малое открытое хранилище;Оксид урана;198
Малое открытое хранилище;Пластиковые отходы;264
