Название;Ресурс;Количество
Сталелитейный завод;Гравий;142
Сталелитейный завод;Асфальт;113
Сталелитейный завод;Кирпичи;141
Сталелитейный завод;Доски;47
Сталелитейный завод;Сталь;241
Сталелитейный завод;Механические детали;32
Железорудный комбинат;Бетон;360
Железорудный комбинат;Гравий;65
Железорудный комбинат;Асфальт;52
Железорудный комбинат;Сталь;200
Железорудный комбинат;Механические детали;4,2
Завод по переработке алюминия;Бетон;19
Завод по переработке алюминия;Гравий;14
Завод по переработке алюминия;Асфальт;11
Завод по переработке алюминия;Сталь;26
Завод по переработке алюминия;Механические детали;1,8
Завод по переработке стали;Бетон;29
Завод по переработке стали;Гравий;22
Завод по переработке стали;Асфальт;18
Завод по переработке стали;Сталь;50
Завод по переработке стали;Механические детали;2,6
Завод по переработке пластмасс;Бетон;13
Завод по переработке пластмасс;Гравий;10
Завод по переработке пластмасс;Асфальт;8,5
Завод по переработке пластмасс;Сталь;23
Завод по переработке пластмасс;Механические детали;1,8
Завод по переработке гравия;Бетон;33
Завод по переработке гравия;Гравий;25
Завод по переработке гравия;Асфальт;20
Завод по переработке гравия;Сталь;24
Завод по переработке гравия;Механические детали;1,8
Гостиница (4 звезды);Бетон;30
Гостиница (4 звезды);Гравий;23
Гостиница (4 звезды);Асфальт;19
Гостиница (4 звезды);Кирпичи;76
Гостиница (4 звезды);Доски;30
Гостиница (4 звезды);Сталь;15
Гостиница (4 звезды);Панели;27
Центральная гостиница (4 звезды);Бетон;39
Центральная гостиница (4 звезды);Гравий;30
Центральная гостиница (4 звезды);Асфальт;24
Центральная гостиница (4 звезды);Панели;172
Центральная гостиница (4 звезды);Сталь;17
Гостиница (3 звезды);Бетон;17
Гостиница (3 звезды);Гравий;13
Гостиница (3 звезды);Асфальт;10
Гостиница (3 звезды);Кирпичи;61
Гостиница (3 звезды);Доски;23
Гостиница (3 звезды);Сталь;11
Гостиница (3 звезды);Панели;21
Горная гостиница (3 звезды);Бетон;50
Горная гостиница (3 звезды);Гравий;39
Горная гостиница (3 звезды);Асфальт;31
Горная гостиница (3 звезды);Панели;32
Горная гостиница (3 звезды);Сталь;3,3
Горная гостиница (3 звезды);Кирпичи;2,2
Горная гостиница (3 звезды);Доски;11
Малая гостиниц (2 звезды);Бетон;25
Малая гостиниц (2 звезды);Гравий;19
Малая гостиниц (2 звезды);Асфальт;15
Малая гостиниц (2 звезды);Панели;50
Малая гостиниц (2 звезды);Сталь;5,1
Тюрьма 1;Бетон;37
Тюрьма 1;Гравий;28
Тюрьма 1;Асфальт;23
Тюрьма 1;Кирпичи;33
Тюрьма 1;Доски;25
Тюрьма 1;Сталь;12
Тюрьма 2;Бетон;125
Тюрьма 2;Гравий;96
Тюрьма 2;Асфальт;77
Тюрьма 2;Кирпичи;419
Тюрьма 2;Доски;139
Тюрьма 2;Сталь;52
Детский дом 1;Бетон;24
Детский дом 1;Гравий;19
Детский дом 1;Асфальт;15
Детский дом 1;Кирпичи;32
Детский дом 1;Доски;13
Детский дом 1;Сталь;5,4
Детский дом 2;Бетон;47
Детский дом 2;Гравий;36
Детский дом 2;Асфальт;29
Детский дом 2;Кирпичи;111
Детский дом 2;Доски;37
Детский дом 2;Сталь;13
Отделение госбезопасности;Бетон;15
Отделение госбезопасности;Гравий;12
Отделение госбезопасности;Асфальт;9,6
Отделение госбезопасности;Кирпичи;45
Отделение госбезопасности;Доски;20
Отделение госбезопасности;Сталь;9,1
Здание госбезопасности;Бетон;57
Здание госбезопасности;Гравий;44
Здание госбезопасности;Асфальт;35
Здание госбезопасности;Кирпичи;168
Здание госбезопасности;Доски;56
Здание госбезопасности;Сталь;21
Здание районого суда;Бетон;111
Здание районого суда;Гравий;21
Здание районого суда;Асфальт;17
Здание районого суда;Сталь;19
Здание суда;Бетон;102
Здание суда;Гравий;79
Здание суда;Асфальт;63
Здание суда;Панели;290
Здание суда;Сталь;29
Опорный пункт милиции;Бетон;14
Опорный пункт милиции;Гравий;11
Опорный пункт милиции;Асфальт;9,2
Опорный пункт милиции;Кирпичи;26
Опорный пункт милиции;Доски;9
Опорный пункт милиции;Сталь;3,4
Отделение милиции;Бетон;192
Отделение милиции;Гравий;18
Отделение милиции;Асфальт;15
Отделение милиции;Сталь;38
Пожарная часть 1;Бетон;8,4
Пожарная часть 1;Гравий;6,5
Пожарная часть 1;Асфальт;5,2
Пожарная часть 1;Кирпичи;24
Пожарная часть 1;Доски;13
Пожарная часть 1;Сталь;6
Пожарная часть 2;Бетон;67
Пожарная часть 2;Гравий;51
Пожарная часть 2;Асфальт;41
Пожарная часть 2;Кирпичи;99
Пожарная часть 2;Доски;58
Пожарная часть 2;Сталь;27
Пожарная часть 3;Бетон;22
Пожарная часть 3;Гравий;17
Пожарная часть 3;Асфальт;13
Пожарная часть 3;Кирпичи;52
Пожарная часть 3;Доски;17
Пожарная часть 3;Сталь;15
Поликлиника;Бетон;10
Поликлиника;Гравий;7,9
Поликлиника;Асфальт;6,3
Поликлиника;Кирпичи;15
Малая гостиниц (2 звезды);Доски;9
Поликлиника;Сталь;4,3
Больница 1;Бетон;787
Больница 1;Гравий;159
Больница 1;Асфальт;127
Больница 1;Сталь;469
Больница 2;Бетон;54
Больница 2;Гравий;17
Больница 2;Асфальт;14
Больница 2;Кирпичи;17
Больница 2;Доски;5,8
Больница 2;Сталь;43
Бар 1;Бетон;47
Бар 1;Гравий;36
Бар 1;Асфальт;29
Бар 1;Кирпичи;38
Бар 1;Доски;12
Бар 1;Сталь;4,8
Пивной ларек;Бетон;0,89
Пивной ларек;Гравий;0,88
Пивной ларек;Асфальт;0,55
Пивной ларек;Сталь;1,5
Бар 2;Бетон;6,6
Бар 2;Гравий;5,1
Бар 2;Асфальт;4,1
Бар 2;Кирпичи;2,4
Бар 2;Доски;0,8
Бар 2;Сталь;4,3
Малый универмаг 1;Бетон;30
Малый универмаг 1;Гравий;23
Малый универмаг 1;Асфальт;18
Малый универмаг 1;Кирпичи;41
Малый универмаг 1;Доски;13
Малый универмаг 1;Сталь;5,2
Малый магазин;Бетон;18
Малый магазин;Гравий;9,3
Малый магазин;Асфальт;7,5
Малый магазин;Кирпичи;13
Малый магазин;Доски;4,4
Малый магазин;Сталь;3
Малый универмаг 2;Бетон;67
Малый универмаг 2;Гравий;15
Малый универмаг 2;Асфальт;12
Малый универмаг 2;Кирпичи;11
Малый универмаг 2;Доски;3,7
Малый универмаг 2;Сталь;12
Малый универмаг 3;Бетон;31
Малый универмаг 3;Гравий;24
Малый универмаг 3;Асфальт;19
Малый универмаг 3;Кирпичи;48
Малый универмаг 3;Доски;16
Малый универмаг 3;Сталь;6,1
Универмаг;Бетон;437
Универмаг;Гравий;61
Универмаг;Асфальт;49
Универмаг;Кирпичи;48
Универмаг;Доски;16
Универмаг;Сталь;87
Бакалейный ларек;Бетон;0,47
Бакалейный ларек;Гравий;0,36
Бакалейный ларек;Асфальт;0,29
Бакалейный ларек;Сталь;1
Гастроном;Бетон;18
Гастроном;Гравий;9,4
Гастроном;Асфальт;7,5
Гастроном;Кирпичи;13
Гастроном;Доски;4,4
Гастроном;Сталь;3
Хранилище насыпных грузов;Бетон;422
Хранилище насыпных грузов;Гравий;50
Хранилище насыпных грузов;Асфальт;40
Хранилище насыпных грузов;Сталь;89
Хранилище насыпных грузов;Механические детали;1,8
Цементохранилище;Бетон;233
Цементохранилище;Гравий;20
Цементохранилище;Асфальт;16
Цементохранилище;Сталь;62
Цементохранилище;Механические детали;0,31
Резервуар;Бетон;31
Резервуар;Гравий;23
Резервуар;Асфальт;19
Резервуар;Сталь;11
Резервуар;Механические детали;2,4
Хранилище навалочных грузов;Бетон;239
Хранилище навалочных грузов;Гравий;47
Хранилище навалочных грузов;Асфальт;38
Хранилище навалочных грузов;Сталь;57
Хранилище навалочных грузов;Механические детали;3,5
Элеватор;Бетон;973
Элеватор;Гравий;88
Элеватор;Асфальт;71
Элеватор;Сталь;251
Склад;Бетон;107
Склад;Гравий;82
Склад;Кирпичи;73
Склад;Доски;24
Склад;Сталь;9,2
Малое открытое хранилище;Бетон;14
Малое открытое хранилище;Гравий;10
Малое открытое хранилище;Асфальт;8,7
Малое открытое хранилище;Сталь;10
Малое открытое хранилище;Механические детали;2,2
Отделение партийной академии;Бетон;23
Отделение партийной академии;Гравий;18
Отделение партийной академии;Асфальт;14
Отделение партийной академии;Кирпичи;78
Отделение партийной академии;Доски;33
Отделение партийной академии;Сталь;17
Отделение партийной академии;Панели;34
Партийная академия;Бетон;520
Партийная академия;Гравий;165
Партийная академия;Асфальт;132
Партийная академия;Сталь;201
Партийная академия;Кирпичи;166
Партийная академия;Доски;55
Технический университет 1;Бетон;44
Технический университет 1;Гравий;34
Технический университет 1;Асфальт;27
Технический университет 1;Кирпичи;124
Технический университет 1;Доски;41
Технический университет 1;Сталь;15
Технический университет 2;Бетон;469
Технический университет 2;Гравий;109
Технический университет 2;Асфальт;87
Технический университет 2;Сталь;159
Технический университет 2;Кирпичи;107
Технический университет 2;Доски;35
Медицинский университет;Бетон;541
Медицинский университет;Гравий;163
Медицинский университет;Асфальт;130
Медицинский университет;Сталь;217
Медицинский университет;Кирпичи;179
Медицинский университет;Доски;59
Школа 1;Бетон;34
Школа 1;Гравий;26
Школа 1;Асфальт;21
Школа 1;Сталь;19
Школа 1;Панели;65
Школа 2;Бетон;17
Школа 2;Гравий;13
Школа 2;Асфальт;11
Школа 2;Сталь;8,5
Школа 2;Панели;34
Школа 3;Бетон;13
Школа 3;Гравий;10
Школа 3;Асфальт;8,6
Школа 3;Кирпичи;13
Школа 3;Доски;4,5
Школа 3;Сталь;1,7
Школа 4;Бетон;89
Школа 4;Гравий;68
Школа 4;Асфальт;54
Школа 4;Сталь;26
Школа 4;Панели;121
Детский сад 1;Бетон;49
Детский сад 1;Гравий;37
Детский сад 1;Асфальт;30
Детский сад 1;Сталь;10
Детский сад 1;Панели;42
Детский сад 2;Бетон;25
Детский сад 2;Гравий;19
Детский сад 2;Асфальт;15
Детский сад 2;Сталь;6,6
Детский сад 2;Панели;26
Детский сад 3;Бетон;12
Детский сад 3;Гравий;9,9
Детский сад 3;Асфальт;8
Детский сад 3;Кирпичи;20
Детский сад 3;Доски;7,2
Детский сад 3;Сталь;2,8
Многоквартирный дом (серия 1Лг-600А) 1;Бетон;49
Многоквартирный дом (серия 1Лг-600А) 1;Гравий;4,2
Многоквартирный дом (серия 1Лг-600А) 1;Панели;37
Многоквартирный дом (серия 1Лг-600А) 1;Сталь;1,6
Многоквартирный дом (серия 1Лг-600А) 1;Кирпичи;0,13
Многоквартирный дом (серия 1Лг-600А) 1;Электродетали;0,042
Многоквартирный дом (серия 1Лг-600А) 1;Механические детали;0,063
Многоквартирный дом (серия 1Лг-600А) 1;Доски;16
Многоквартирный дом (серия 1Лг-600А) 2;Бетон;122
Многоквартирный дом (серия 1Лг-600А) 2;Гравий;10
Многоквартирный дом (серия 1Лг-600А) 2;Панели;95
Многоквартирный дом (серия 1Лг-600А) 2;Сталь;3,8
Многоквартирный дом (серия 1Лг-600А) 2;Кирпичи;0,3
Многоквартирный дом (серия 1Лг-600А) 2;Электродетали;0,15
Многоквартирный дом (серия 1Лг-600А) 2;Механические детали;0,22
Многоквартирный дом (серия 1Лг-600А) 2;Доски;42
Кирпичный многоквартирный дом;Бетон;5,8
Кирпичный многоквартирный дом;Гравий;4,5
Кирпичный многоквартирный дом;Асфальт;3,6
Кирпичный многоквартирный дом;Кирпичи;19
Кирпичный многоквартирный дом;Доски;8,5
Кирпичный многоквартирный дом;Сталь;3,7
Панельный многоквартирный дом;Бетон;10
Панельный многоквартирный дом;Гравий;7,8
Панельный многоквартирный дом;Асфальт;6,2
Панельный многоквартирный дом;Сталь;7,2
Панельный многоквартирный дом;Панели;32
Простой малоэтажный дом;Бетон;7,2
Простой малоэтажный дом;Гравий;5,6
Простой малоэтажный дом;Асфальт;4,5
Простой малоэтажный дом;Кирпичи;11
Простой малоэтажный дом;Доски;4,6
Простой малоэтажный дом;Сталь;1,9
Многоквартирный дом (серия 75);Бетон;5,8
Многоквартирный дом (серия 75);Гравий;4,4
Многоквартирный дом (серия 75);Асфальт;3,6
Многоквартирный дом (серия 75);Панели;42
Многоквартирный дом (серия 75);Сталь;4,2
Многоквартирный дом (серия 75);Кирпичи;0,67
Многоквартирный дом (серия 75);Доски;27
Панельный многоквартирный дом (серия 464);Бетон;19
Панельный многоквартирный дом (серия 464);Гравий;15
Панельный многоквартирный дом (серия 464);Асфальт;12
Панельный многоквартирный дом (серия 464);Панели;43
Панельный многоквартирный дом (серия 464);Сталь;4,4
